name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
1RXS 1609 b,Confirmed,6.6,0.3,0.3,,,,1.7,,,,,,305.0,51.0,74.0,0.25,0.15,0.2,,,,2.22,2008,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,4.0,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS 1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145.0,20.0,20.0,,,,0.73,0.05,0.05,1.35,,,K7V,0.011,0.002,0.002,4060.0,200.0,200.0,,,"1RXS1609, 1RXS J1609, 1RXS J160929.1-210524"
1RXS J103137.1-690205  b,Confirmed,36.5,2.4,2.4,,,,,,,,,,1725.0,,,,,,,,,,2022,2024-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Imaging, Astrometry",Astrometry,,2MASS J10313710-6901587 b,,1RXS J103137.1-690205,157.90465123574,-69.03299832299,11.82,,10.104,9.609,9.494,167.612736,,,,,,0.87,,,1.06,,,K2.5IVe,,,,4862.13,,,,,2MASS J10313710-6901587
1RXS J105010.3-140431 b,Confirmed,15.0,5.0,5.0,,,,,,,1.48,,,,,,,,,,,,,2001,2025-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"NLTT 25473 b, LP 731-60 b, 2MASS J10501081-1404365 b",,1RXS J105010.3-140431,162.545014037,-14.0768777041,16.76,,16.74,,15.74,109.38,1.321,1.321,,,,,,,,,,DA,,,,18500.0,5500.0,5500.0,,,"NLTT 25473, LP 731-60, 2MASS J10501081-1404365"
1RXS J125608.8-692652 (AB)b,Confirmed,44.5,5.8,5.8,,,,,,,,,,503.0,,,,,,,,,,2024,2024-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,"Imaging, Astrometry",Astrometry,,2MASS J12560830-6926539 (AB)b,,1RXS J125608.8-692652,194.03461754608,-69.44835024525,11.831,10.048,8.91,8.25,7.99,98.6,,,,,,0.7,,,1.831,,,K7Ve,0.003,,,3971.38,,,,,2MASS J12560830-6926539
1RXS J131752.0-505845 b,Confirmed,27.1,4.3,4.3,,,,,,,,,,5230.0,,,,,,,,,,2022,2025-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Imaging, Astrometry",Astrometry,,2MASS J13175314-5058481 b,,1RXS J131752.0-505845,199.47144072095,-50.98006282048,12.55,,9.978,9.326,9.151,157.0,,,,,,0.8,,,1.326,,,K5IVe,,,,4154.74,,,,,2MASS J13175314-5058481
1RXS J235133.3+312720 Ab,Confirmed,32.0,6.0,6.0,,,,,,,,,,120.0,20.0,20.0,,,,,,,,2012,2024-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,1RXS J235133.3+312720 A,357.890308282,31.4563946913,13.6,,,,,,,,,,,0.45,0.05,0.05,,,,M2V,0.1,0.05,0.05,,,,,,2MASS J23513366+3127229
1SWASP J1407 b,Confirmed,,6.0,6.0,20.0,6.0,6.0,,,,3725.0,900.0,900.0,3.9,1.7,1.7,,,,,,,,2012,2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,1SWASP J1407,211.950000016,-39.761944469,12.4,,,,,133.0,12.0,12.0,,,,0.9,,,0.99,0.11,0.11,,0.016,,,4400.0,100.0,100.0,,,
23 Lib b,Confirmed,,0.02,0.02,1.59,0.02,0.02,,,,258.19,0.07,0.07,0.81,0.02,0.02,0.233,0.002,0.002,,,,0.036486,1999,2024-05-28,252.7,0.5,0.5,10071.0,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 134987 b,,23 Lib,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740.0,23.0,23.0,,,HD 134987
23 Lib c,Confirmed,,0.03,0.03,0.82,0.03,0.03,,,,5000.0,400.0,400.0,5.8,0.5,0.5,0.12,0.02,0.02,,,,0.261261,2009,2024-05-28,195.0,48.0,48.0,11100.0,600.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 134987 c,,23 Lib,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740.0,23.0,23.0,,,HD 134987
24 Boo b,Confirmed,,0.11,0.11,0.91,0.11,0.11,,,,30.3506,0.0078,0.0078,0.19,0.009,0.012,0.042,0.029,0.048,,,,,2018,2023-08-07,210.0,130.0,100.0,2450008.6,7.9,10.1,,,,,,,,,,,,,,,,,,,59.9,3.3,3.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Bo&ouml;,217.162500013,49.845000026,5.6,,,,,100.0,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.19,10.64,0.59,0.84,G3IV,6.92,4.8,4.8,4893.0,15.0,15.0,,,
24 Sex b,Confirmed,,0.11,0.11,1.84,0.11,0.11,,,,452.8,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,,,,0.017821,2010,2021-10-02,9.2,165.4,277.9,2454762.0,172.3,172.3,,,,,,,,,,,,,,,,,,,33.2,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.868205808,-0.902243675771,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098.0,44.0,44.0,,,
24 Sex c,Confirmed,,0.2,0.2,1.52,0.2,0.2,,,,883.0,14.0,32.0,2.08,0.02,0.05,0.29,0.09,0.16,,,,0.027807,2010,2021-10-02,220.5,320.9,182.2,2454930.0,96.5,96.5,,,,,,,,,,,,,,,,,,,23.5,2.9,2.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.868205808,-0.902243675771,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098.0,44.0,44.0,,,
270-1954,Confirmed,18.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,2025,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,83.86266666666667,-5.331583333333334,,,,,,390.0,,,,,,,,,,,,,,,,,,,,,
2M 1101-7732 A,Confirmed,50.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,2004,2025-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2838.0,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"LUH 1 A, 2MASS J11011926-7732383 A",,,165.330275006,-77.5439750192,,,,,,168.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
2M 1101-7732 B,Confirmed,25.0,5.0,5.0,,,,,,,,,,240.0,,,,,,,,,,2004,2025-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2632.0,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"LUH 1 B, 2MASS J11011926-7732383 B",,,165.330275006,-77.5439750192,,,,,,168.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
2M1207 A,Confirmed,19.9,5.0,5.0,,,,3.5,,,,,,,,,,,,,,,,2005,2025-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640.0,,,2500.0,,,,,3.0,Published in a refereed paper,Imaging,Spectrum,Flux,"TWA 27 A, 2MASS J12073346-3932539","CO, Fe, H2O, K, Mg, Na",,181.88944813535,-39.54833795144,,,,,,64.673,0.4864,0.4864,,,,,,,,,,,,,,,,,,,
2M1207 Ab,Confirmed,5.5,0.5,0.5,,,,1.4,0.01,0.01,,,,42.0,2.0,19.0,,,,,,,0.877863,2004,2025-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J12073346-3932539 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b, TWA 27 b, TWA 27 Ab","CH4, CO, Fe, H2O, He, K, Mg, Na, SiO2",,181.88944813535,-39.54833795144,,,,,,64.673,0.4864,0.4864,,,,,,,,,,,,,,,,,,,
2M1510 A,Confirmed,33.0,0.73,0.73,,,,,,,20.90769,0.00028,0.00028,,,,0.36,0.0007,0.0007,88.5,0.1,0.1,,2002,2025-04-18,284.36,0.11,0.11,2459070.5601,0.007,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Radial Velocity,,2MASS J15104786-2818174 A,,,227.69940541649,-28.30486663737,,,,,,35.51,0.02,0.02,,,,,,,,,,,,,,,,,,,
2M1510 (AB)b,Confirmed,0.031,,,,,,,,,100.0,,,,,,,,,90.0,,,,2025,2025-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,2M1510(AB),227.699375,-28.30486388888889,,,,,,35.51,0.02,0.02,,,,0.066,,,,,,,,,,,,,,,2MASS J15104786-2818174
2M1510 (AB)c,Confirmed,17.68,2.1,4.2,,,,,,,10950.0,,,4.4,,,,,,,,,,2019,2025-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,227.6991666826,-28.304722232,,,,,,36.6,0.3,0.3,,,,,,,,,,,,,,,,,,,
2M1510 B,Confirmed,33.21,0.7,0.7,,,,,,,20.90769,0.00028,0.00028,,,,0.36,0.007,0.007,88.5,0.1,0.1,,2020,2025-04-18,284.36,0.11,0.11,2459070.5601,0.07,0.07,,,,,,,,,,,,,,,,,,,16.79,0.01,0.01,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,2MASS J15104786-2818174 B,,,227.69940541649,-28.30486663737,,,,,,140.26,10.38,10.38,,,,,,,,,,,,,,,,,,,
2M1510 C,Confirmed,37.5,2.8,2.9,,,,1.57,,,,,,250.0,,,,,,,,,,2020,2025-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,2657.0,51.0,51.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J15104761-2818234, 2MASS J15104786-2818174 C",,,227.6991666826,-28.304722232,,,,,,36.6,0.3,0.3,,,,,,,,,,,,,,,,,,,
2MASS J0001+1535,Confirmed,33.0,4.0,4.0,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2022,2024-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725.0,5.0,5.0,,,,,,4.73,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J00011217+1535355,,,0.300687111371219,15.5932068139479,,,,,,31.6163,1.8013,1.8013,,,,,,,,,,,,,,,,,,,
2MASS J0004-6410,Confirmed,19.18,6.41,6.41,,,,,,,,,,,,,,,,,,,,2010,2024-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896.0,77.0,77.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J00040288-6410358,,,1.012006,-64.176613,,,,,,47.4,3.2,3.2,,,,,,,,,,,,,,,,,,,
2MASS J0010+1715 b,Confirmed,57.5,7.5,7.5,,,,,,,,,,739.0,,,,,,,,,,2024,2024-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J00103250+1715490 b,,2MASS J0010+1715,2.635,17.25,10.0,,,,,40.877,0.2,0.2,,,,,,,,,,M8e D,,,,,,,,,2MASS J00103250+1715490
2MASS J0019-6226,Confirmed,14.88,4.51,4.51,,,,,,,,,,,,,,,,,,,,2015,2024-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J00191296-6226005, HIP 1481 (ABC)b",,HIP 1481 A,4.608333342,-63.477500018,7.46,,,,,40.82,,,,,,1.17,0.16,0.16,1.11,0.05,0.05,F8V,0.045,,,6147.0,126.66,126.66,,,HD 1466
2MASS J0021-4514 b,Confirmed,30.0,,,,,,,,,,,,3900.0,,,,,,,,,,2024,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"CWISE J002159.02-451434.4, 2MASS J00215427-4514590 b",,2MASS J0021-4514,5.476125,-45.24979722222222,,,9.015,8.593,8.583,54.5012,0.21395,0.21395,,,,0.189,0.02,0.02,0.2198,0.00673,0.00673,M5.5V,,,,3182.0,157.0,157.0,,,"WISEA J002154.47-451500.2, TIC 7151346, 2MASS J00215427-4514590, LEHPM 503"
2MASS J0030-1450,Confirmed,10.0,2.0,2.0,,,,1.36,0.04,0.04,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264.0,78.0,78.0,,,,,,4.12,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J0030300-145033,,,7.62555101004408,-14.842610024088,,,,,,26.7,3.3,3.3,,,,,,,,,,,,,,,,,,,
2MASS J0031+5749,Confirmed,24.0,7.0,7.0,,,,1.2,0.06,0.06,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343.0,58.0,58.0,,,,,,4.6,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J00310928+5749364,,,7.788700003096,57.82679724666,,,,,,11.6,1.4,1.4,,,,,,,,,,,,,,,,,,,
2MASS J0033-1521,Confirmed,29.05,18.53,18.53,,,,1.43,0.22,0.22,,,,,,,,,,,,,,2003,2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.0,175.0,175.0,,,,,,,Published in a refereed paper,Imaging,,,2MASS J00332386-1521309,,,8.3494669873475,-15.358582979053612,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,
2MASS J0034+0523,Confirmed,42.13,26.46,26.46,,,,0.94,0.16,0.16,,,,,,,,,,,,,,2004,2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.0,82.0,82.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J00345157+0523050,,,8.714904,5.384749,,,,,,8.2,1.5,1.5,,,,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 A,Confirmed,30.0,,,,,,,,,,,,,,,,,,,,,,2009,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532026,-56.3535514379,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 B,Confirmed,15.0,,,,,,,,,45990.0,13500.0,31400.0,8.9,1.9,3.7,,,,,,,,2010,2022-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532026,-56.3535514379,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,
2MASS J0045+1634,Confirmed,22.71,7.95,7.95,,,,1.62,0.06,0.06,,,,,,,,,,,,,,2019,2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987.0,53.0,53.0,,,,,,,Submitted to a professional journal,Imaging,Spectrum,,2MASS J00452143+1634446,,,11.3392916738,16.5790555768,,,,,,15.4,0.05,0.05,,,,,,,,,,,,,,,,,,,
2MASS J0050-3322,Confirmed,40.34,25.54,25.54,,,,0.94,0.16,0.16,,,,,,,,,,,,,,2005,2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.0,71.0,71.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J00501994-3322402,,,12.583098,-33.377853,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
2MASS J0051-5913 b,Confirmed,30.0,,,,,,,,,10034580.0,,,462.0,,,,,,,,,,2017,2024-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J00514081-5913320 b,,2MASS J0051-5913,12.92007966339,-59.22557799511,16.35,,11.28,10.7,10.4,42.4752,0.0903,0.0903,,,,0.256,0.02,0.02,0.281,0.0085,0.0085,M4.4,,,,3072.0,157.0,157.0,,,2MASS J00514081-5913320
2MASS J0052+0012,Confirmed,58.0,,,,,,,,,,,,,,,,,,,,,,2011,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J00521232+0012172,,,13.051343,0.204792,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J0052+0012 b,Confirmed,36.0,,,,,,,,,,,,49.0,,,,,,,,,,2011,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J00521232+0012172 b,,,13.051343,0.204792,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J0103+1935,Confirmed,15.07,10.69,10.69,,,,1.34,0.13,0.13,,,,,,,,,,,,,,2000,2024-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231.0,117.0,117.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J01033203+1935361,,,15.883488,19.593384,,,,,,21.3,3.4,3.4,,,,,,,,,,,,,,,,,,,
2MASS J0103-5515 (AB)b,Confirmed,10.5,1.1,1.1,,,,1.54,0.03,0.03,,,,84.0,,,,,,,,,,2013,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731.0,96.0,96.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,"Delorme 1 (AB)b, 2MASS J01033563-5515561 (AB)b",H,2MASS J0103-5515,15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,"Delorme 1, 2MASS J01033563-5515561"
